metric,policy,run,table,source_log,line,avg,base_at,completed_at,count,done_at,experiment_label,first_period,hybrid_distance_weight,hybrid_wait_weight,max,max_completed,max_period,max_sim_time,min_period,repeat,requested_at,return,seed,served_at,stop_delay,total,wait
wait_time,HYBRID,HYBRID_w1_d25-r1,T1,HYBRID_w1_d25-r1.log,491,17.71s,,,2,,HYBRID_w1_d25,5,25,1,27.55s,3,16,180,8,1,13.22,,2001,40.77,10,,27.55s
total_time,HYBRID,HYBRID_w1_d25-r1,T1,HYBRID_w1_d25-r1.log,517,,,42.82,2,,HYBRID_w1_d25,5,25,1,,3,16,180,8,1,13.22,,2001,,10,29.60s,
return_time,HYBRID,HYBRID_w1_d25-r1,T1,HYBRID_w1_d25-r1.log,658,15.87s,55.01,,2,42.78,HYBRID_w1_d25,5,25,1,19.52s,3,16,180,8,1,,12.22s,2001,,10,,
wait_time,HYBRID,HYBRID_w1_d25-r1,T6,HYBRID_w1_d25-r1.log,891,29.49s,,,3,,HYBRID_w1_d25,5,25,1,53.06s,3,16,180,8,1,21.92,,2001,74.98,10,,53.06s
total_time,HYBRID,HYBRID_w1_d25-r1,T6,HYBRID_w1_d25-r1.log,919,,,77.02,3,,HYBRID_w1_d25,5,25,1,,3,16,180,8,1,21.92,,2001,,10,55.10s,
wait_time,HYBRID,HYBRID_w1_d25-r2,T6,HYBRID_w1_d25-r2.log,379,27.04s,,,1,,HYBRID_w1_d25,5,25,1,27.04s,3,16,180,8,2,5.02,,2002,32.06,10,,27.04s
total_time,HYBRID,HYBRID_w1_d25-r2,T6,HYBRID_w1_d25-r2.log,407,,,34.11,1,,HYBRID_w1_d25,5,25,1,,3,16,180,8,2,5.02,,2002,,10,29.09s,
return_time,HYBRID,HYBRID_w1_d25-r2,T6,HYBRID_w1_d25-r2.log,678,23.07s,57.15,,1,34.08,HYBRID_w1_d25,5,25,1,23.07s,3,16,180,8,2,,23.07s,2002,,10,,
wait_time,HYBRID,HYBRID_w1_d25-r2,T3,HYBRID_w1_d25-r2.log,1095,53.82s,,,2,,HYBRID_w1_d25,5,25,1,80.61s,3,16,180,8,2,13.06,,2002,93.66,10,,80.61s
total_time,HYBRID,HYBRID_w1_d25-r2,T3,HYBRID_w1_d25-r2.log,1121,,,95.71,2,,HYBRID_w1_d25,5,25,1,,3,16,180,8,2,13.06,,2002,,10,82.66s,
wait_time,HYBRID,HYBRID_w1_d25-r3,T1,HYBRID_w1_d25-r3.log,196,10.08s,,,1,,HYBRID_w1_d25,5,25,1,10.08s,3,16,180,8,3,5.02,,2003,15.10,10,,10.08s
total_time,HYBRID,HYBRID_w1_d25-r3,T1,HYBRID_w1_d25-r3.log,222,,,17.15,1,,HYBRID_w1_d25,5,25,1,,3,16,180,8,3,5.02,,2003,,10,12.13s,
return_time,HYBRID,HYBRID_w1_d25-r3,T1,HYBRID_w1_d25-r3.log,615,35.10s,52.22,,1,17.12,HYBRID_w1_d25,5,25,1,35.10s,3,16,180,8,3,,35.10s,2003,,10,,
wait_time,HYBRID,HYBRID_w1_d25-r3,T5,HYBRID_w1_d25-r3.log,734,26.72s,,,2,,HYBRID_w1_d25,5,25,1,43.36s,3,16,180,8,3,18.75,,2003,62.11,10,,43.36s
total_time,HYBRID,HYBRID_w1_d25-r3,T5,HYBRID_w1_d25-r3.log,760,,,64.16,2,,HYBRID_w1_d25,5,25,1,,3,16,180,8,3,18.75,,2003,,10,45.41s,
return_time,HYBRID,HYBRID_w1_d25-r3,T5,HYBRID_w1_d25-r3.log,878,22.85s,74.72,,2,64.13,HYBRID_w1_d25,5,25,1,35.10s,3,16,180,8,3,,10.59s,2003,,10,,
wait_time,HYBRID,HYBRID_w1_d25-r3,T3,HYBRID_w1_d25-r3.log,1156,39.70s,,,3,,HYBRID_w1_d25,5,25,1,65.66s,3,16,180,8,3,32.32,,2003,97.98,10,,65.66s
total_time,HYBRID,HYBRID_w1_d25-r3,T3,HYBRID_w1_d25-r3.log,1184,,,100.03,3,,HYBRID_w1_d25,5,25,1,,3,16,180,8,3,32.32,,2003,,10,67.71s,
wait_time,HYBRID,HYBRID_w1_d30-r1,T5,HYBRID_w1_d30-r1.log,173,7.87s,,,1,,HYBRID_w1_d30,5,30,1,7.87s,3,16,180,8,1,5.02,,2001,12.90,10,,7.87s
total_time,HYBRID,HYBRID_w1_d30-r1,T5,HYBRID_w1_d30-r1.log,202,,,14.94,1,,HYBRID_w1_d30,5,30,1,,3,16,180,8,1,5.02,,2001,,10,9.92s,
return_time,HYBRID,HYBRID_w1_d30-r1,T5,HYBRID_w1_d30-r1.log,413,19.52s,34.43,,1,14.91,HYBRID_w1_d30,5,30,1,19.52s,3,16,180,8,1,,19.52s,2001,,10,,
wait_time,HYBRID,HYBRID_w1_d30-r1,T1,HYBRID_w1_d30-r1.log,491,17.71s,,,2,,HYBRID_w1_d30,5,30,1,27.55s,3,16,180,8,1,13.22,,2001,40.77,10,,27.55s
total_time,HYBRID,HYBRID_w1_d30-r1,T1,HYBRID_w1_d30-r1.log,517,,,42.82,2,,HYBRID_w1_d30,5,30,1,,3,16,180,8,1,13.22,,2001,,10,29.60s,
return_time,HYBRID,HYBRID_w1_d30-r1,T1,HYBRID_w1_d30-r1.log,658,15.87s,55.01,,2,42.78,HYBRID_w1_d30,5,30,1,19.52s,3,16,180,8,1,,12.22s,2001,,10,,
wait_time,HYBRID,HYBRID_w1_d30-r1,T2,HYBRID_w1_d30-r1.log,752,20.18s,,,3,,HYBRID_w1_d30,5,30,1,27.55s,3,16,180,8,1,37.54,,2001,62.66,10,,25.12s
total_time,HYBRID,HYBRID_w1_d30-r1,T2,HYBRID_w1_d30-r1.log,781,,,64.70,3,,HYBRID_w1_d30,5,30,1,,3,16,180,8,1,37.54,,2001,,10,27.17s,
wait_time,HYBRID,HYBRID_w1_d30-r2,T6,HYBRID_w1_d30-r2.log,379,27.04s,,,1,,HYBRID_w1_d30,5,30,1,27.04s,3,16,180,8,2,5.02,,2002,32.06,10,,27.04s
total_time,HYBRID,HYBRID_w1_d30-r2,T6,HYBRID_w1_d30-r2.log,405,,,34.11,1,,HYBRID_w1_d30,5,30,1,,3,16,180,8,2,5.02,,2002,,10,29.09s,
return_time,HYBRID,HYBRID_w1_d30-r2,T6,HYBRID_w1_d30-r2.log,678,23.07s,57.15,,1,34.08,HYBRID_w1_d30,5,30,1,23.07s,3,16,180,8,2,,23.07s,2002,,10,,
wait_time,HYBRID,HYBRID_w1_d30-r2,T3,HYBRID_w1_d30-r2.log,1095,53.82s,,,2,,HYBRID_w1_d30,5,30,1,80.61s,3,16,180,8,2,13.06,,2002,93.66,10,,80.61s
total_time,HYBRID,HYBRID_w1_d30-r2,T3,HYBRID_w1_d30-r2.log,1121,,,95.71,2,,HYBRID_w1_d30,5,30,1,,3,16,180,8,2,13.06,,2002,,10,82.66s,
wait_time,HYBRID,HYBRID_w1_d30-r3,T1,HYBRID_w1_d30-r3.log,196,10.08s,,,1,,HYBRID_w1_d30,5,30,1,10.08s,3,16,180,8,3,5.02,,2003,15.10,10,,10.08s
total_time,HYBRID,HYBRID_w1_d30-r3,T1,HYBRID_w1_d30-r3.log,222,,,17.15,1,,HYBRID_w1_d30,5,30,1,,3,16,180,8,3,5.02,,2003,,10,12.13s,
return_time,HYBRID,HYBRID_w1_d30-r3,T1,HYBRID_w1_d30-r3.log,615,35.10s,52.22,,1,17.12,HYBRID_w1_d30,5,30,1,35.10s,3,16,180,8,3,,35.10s,2003,,10,,
wait_time,HYBRID,HYBRID_w1_d30-r3,T5,HYBRID_w1_d30-r3.log,734,26.72s,,,2,,HYBRID_w1_d30,5,30,1,43.36s,3,16,180,8,3,18.75,,2003,62.11,10,,43.36s
total_time,HYBRID,HYBRID_w1_d30-r3,T5,HYBRID_w1_d30-r3.log,760,,,64.16,2,,HYBRID_w1_d30,5,30,1,,3,16,180,8,3,18.75,,2003,,10,45.41s,
return_time,HYBRID,HYBRID_w1_d30-r3,T5,HYBRID_w1_d30-r3.log,878,22.85s,74.72,,2,64.13,HYBRID_w1_d30,5,30,1,35.10s,3,16,180,8,3,,10.59s,2003,,10,,
wait_time,HYBRID,HYBRID_w1_d30-r3,T3,HYBRID_w1_d30-r3.log,1156,39.70s,,,3,,HYBRID_w1_d30,5,30,1,65.66s,3,16,180,8,3,32.32,,2003,97.98,10,,65.66s
total_time,HYBRID,HYBRID_w1_d30-r3,T3,HYBRID_w1_d30-r3.log,1184,,,100.03,3,,HYBRID_w1_d30,5,30,1,,3,16,180,8,3,32.32,,2003,,10,67.71s,
wait_time,HYBRID,HYBRID_w1_d35-r1,T5,HYBRID_w1_d35-r1.log,173,7.87s,,,1,,HYBRID_w1_d35,5,35,1,7.87s,3,16,180,8,1,5.02,,2001,12.90,10,,7.87s
total_time,HYBRID,HYBRID_w1_d35-r1,T5,HYBRID_w1_d35-r1.log,202,,,14.94,1,,HYBRID_w1_d35,5,35,1,,3,16,180,8,1,5.02,,2001,,10,9.92s,
return_time,HYBRID,HYBRID_w1_d35-r1,T5,HYBRID_w1_d35-r1.log,413,19.52s,34.43,,1,14.91,HYBRID_w1_d35,5,35,1,19.52s,3,16,180,8,1,,19.52s,2001,,10,,
wait_time,HYBRID,HYBRID_w1_d35-r1,T1,HYBRID_w1_d35-r1.log,491,17.71s,,,2,,HYBRID_w1_d35,5,35,1,27.55s,3,16,180,8,1,13.22,,2001,40.77,10,,27.55s
total_time,HYBRID,HYBRID_w1_d35-r1,T1,HYBRID_w1_d35-r1.log,517,,,42.82,2,,HYBRID_w1_d35,5,35,1,,3,16,180,8,1,13.22,,2001,,10,29.60s,
return_time,HYBRID,HYBRID_w1_d35-r1,T1,HYBRID_w1_d35-r1.log,658,15.87s,55.01,,2,42.78,HYBRID_w1_d35,5,35,1,19.52s,3,16,180,8,1,,12.22s,2001,,10,,
wait_time,HYBRID,HYBRID_w1_d35-r1,T2,HYBRID_w1_d35-r1.log,752,20.18s,,,3,,HYBRID_w1_d35,5,35,1,27.55s,3,16,180,8,1,37.54,,2001,62.66,10,,25.12s
total_time,HYBRID,HYBRID_w1_d35-r1,T2,HYBRID_w1_d35-r1.log,783,,,64.70,3,,HYBRID_w1_d35,5,35,1,,3,16,180,8,1,37.54,,2001,,10,27.17s,
wait_time,HYBRID,HYBRID_w1_d35-r2,T6,HYBRID_w1_d35-r2.log,379,27.04s,,,1,,HYBRID_w1_d35,5,35,1,27.04s,3,16,180,8,2,5.02,,2002,32.06,10,,27.04s
total_time,HYBRID,HYBRID_w1_d35-r2,T6,HYBRID_w1_d35-r2.log,405,,,34.11,1,,HYBRID_w1_d35,5,35,1,,3,16,180,8,2,5.02,,2002,,10,29.09s,
return_time,HYBRID,HYBRID_w1_d35-r2,T6,HYBRID_w1_d35-r2.log,678,23.07s,57.15,,1,34.08,HYBRID_w1_d35,5,35,1,23.07s,3,16,180,8,2,,23.07s,2002,,10,,
wait_time,HYBRID,HYBRID_w1_d35-r2,T3,HYBRID_w1_d35-r2.log,1095,53.82s,,,2,,HYBRID_w1_d35,5,35,1,80.61s,3,16,180,8,2,13.06,,2002,93.66,10,,80.61s
total_time,HYBRID,HYBRID_w1_d35-r2,T3,HYBRID_w1_d35-r2.log,1121,,,95.71,2,,HYBRID_w1_d35,5,35,1,,3,16,180,8,2,13.06,,2002,,10,82.66s,
wait_time,HYBRID,HYBRID_w1_d35-r3,T1,HYBRID_w1_d35-r3.log,196,10.08s,,,1,,HYBRID_w1_d35,5,35,1,10.08s,3,16,180,8,3,5.02,,2003,15.10,10,,10.08s
total_time,HYBRID,HYBRID_w1_d35-r3,T1,HYBRID_w1_d35-r3.log,222,,,17.15,1,,HYBRID_w1_d35,5,35,1,,3,16,180,8,3,5.02,,2003,,10,12.13s,
return_time,HYBRID,HYBRID_w1_d35-r3,T1,HYBRID_w1_d35-r3.log,615,35.10s,52.22,,1,17.12,HYBRID_w1_d35,5,35,1,35.10s,3,16,180,8,3,,35.10s,2003,,10,,
wait_time,HYBRID,HYBRID_w1_d35-r3,T5,HYBRID_w1_d35-r3.log,734,26.72s,,,2,,HYBRID_w1_d35,5,35,1,43.36s,3,16,180,8,3,18.75,,2003,62.11,10,,43.36s
total_time,HYBRID,HYBRID_w1_d35-r3,T5,HYBRID_w1_d35-r3.log,760,,,64.16,2,,HYBRID_w1_d35,5,35,1,,3,16,180,8,3,18.75,,2003,,10,45.41s,
return_time,HYBRID,HYBRID_w1_d35-r3,T5,HYBRID_w1_d35-r3.log,878,22.85s,74.72,,2,64.13,HYBRID_w1_d35,5,35,1,35.10s,3,16,180,8,3,,10.59s,2003,,10,,
wait_time,HYBRID,HYBRID_w1_d35-r3,T3,HYBRID_w1_d35-r3.log,1156,39.70s,,,3,,HYBRID_w1_d35,5,35,1,65.66s,3,16,180,8,3,32.32,,2003,97.98,10,,65.66s
total_time,HYBRID,HYBRID_w1_d35-r3,T3,HYBRID_w1_d35-r3.log,1184,,,100.03,3,,HYBRID_w1_d35,5,35,1,,3,16,180,8,3,32.32,,2003,,10,67.71s,
wait_time,HYBRID,HYBRID_w1_d40-r1,T5,HYBRID_w1_d40-r1.log,173,7.87s,,,1,,HYBRID_w1_d40,5,40,1,7.87s,3,16,180,8,1,5.02,,2001,12.90,10,,7.87s
total_time,HYBRID,HYBRID_w1_d40-r1,T5,HYBRID_w1_d40-r1.log,202,,,14.94,1,,HYBRID_w1_d40,5,40,1,,3,16,180,8,1,5.02,,2001,,10,9.92s,
return_time,HYBRID,HYBRID_w1_d40-r1,T5,HYBRID_w1_d40-r1.log,413,19.52s,34.43,,1,14.91,HYBRID_w1_d40,5,40,1,19.52s,3,16,180,8,1,,19.52s,2001,,10,,
wait_time,HYBRID,HYBRID_w1_d40-r1,T1,HYBRID_w1_d40-r1.log,491,17.71s,,,2,,HYBRID_w1_d40,5,40,1,27.55s,3,16,180,8,1,13.22,,2001,40.77,10,,27.55s
total_time,HYBRID,HYBRID_w1_d40-r1,T1,HYBRID_w1_d40-r1.log,519,,,42.82,2,,HYBRID_w1_d40,5,40,1,,3,16,180,8,1,13.22,,2001,,10,29.60s,
return_time,HYBRID,HYBRID_w1_d40-r1,T1,HYBRID_w1_d40-r1.log,658,15.87s,55.01,,2,42.78,HYBRID_w1_d40,5,40,1,19.52s,3,16,180,8,1,,12.22s,2001,,10,,
wait_time,HYBRID,HYBRID_w1_d40-r1,T2,HYBRID_w1_d40-r1.log,752,20.18s,,,3,,HYBRID_w1_d40,5,40,1,27.55s,3,16,180,8,1,37.54,,2001,62.66,10,,25.12s
total_time,HYBRID,HYBRID_w1_d40-r1,T2,HYBRID_w1_d40-r1.log,783,,,64.70,3,,HYBRID_w1_d40,5,40,1,,3,16,180,8,1,37.54,,2001,,10,27.17s,
wait_time,HYBRID,HYBRID_w1_d40-r2,T6,HYBRID_w1_d40-r2.log,379,27.04s,,,1,,HYBRID_w1_d40,5,40,1,27.04s,3,16,180,8,2,5.02,,2002,32.06,10,,27.04s
total_time,HYBRID,HYBRID_w1_d40-r2,T6,HYBRID_w1_d40-r2.log,405,,,34.11,1,,HYBRID_w1_d40,5,40,1,,3,16,180,8,2,5.02,,2002,,10,29.09s,
return_time,HYBRID,HYBRID_w1_d40-r2,T6,HYBRID_w1_d40-r2.log,678,23.07s,57.15,,1,34.08,HYBRID_w1_d40,5,40,1,23.07s,3,16,180,8,2,,23.07s,2002,,10,,
wait_time,HYBRID,HYBRID_w1_d40-r2,T3,HYBRID_w1_d40-r2.log,1095,53.82s,,,2,,HYBRID_w1_d40,5,40,1,80.61s,3,16,180,8,2,13.06,,2002,93.66,10,,80.61s
total_time,HYBRID,HYBRID_w1_d40-r2,T3,HYBRID_w1_d40-r2.log,1121,,,95.71,2,,HYBRID_w1_d40,5,40,1,,3,16,180,8,2,13.06,,2002,,10,82.66s,
wait_time,HYBRID,HYBRID_w1_d40-r3,T1,HYBRID_w1_d40-r3.log,196,10.08s,,,1,,HYBRID_w1_d40,5,40,1,10.08s,3,16,180,8,3,5.02,,2003,15.10,10,,10.08s
total_time,HYBRID,HYBRID_w1_d40-r3,T1,HYBRID_w1_d40-r3.log,224,,,17.15,1,,HYBRID_w1_d40,5,40,1,,3,16,180,8,3,5.02,,2003,,10,12.13s,
return_time,HYBRID,HYBRID_w1_d40-r3,T1,HYBRID_w1_d40-r3.log,615,35.10s,52.22,,1,17.12,HYBRID_w1_d40,5,40,1,35.10s,3,16,180,8,3,,35.10s,2003,,10,,
wait_time,HYBRID,HYBRID_w1_d40-r3,T5,HYBRID_w1_d40-r3.log,734,26.72s,,,2,,HYBRID_w1_d40,5,40,1,43.36s,3,16,180,8,3,18.75,,2003,62.11,10,,43.36s
total_time,HYBRID,HYBRID_w1_d40-r3,T5,HYBRID_w1_d40-r3.log,762,,,64.16,2,,HYBRID_w1_d40,5,40,1,,3,16,180,8,3,18.75,,2003,,10,45.41s,
return_time,HYBRID,HYBRID_w1_d40-r3,T5,HYBRID_w1_d40-r3.log,878,22.85s,74.72,,2,64.13,HYBRID_w1_d40,5,40,1,35.10s,3,16,180,8,3,,10.59s,2003,,10,,
wait_time,HYBRID,HYBRID_w1_d40-r3,T3,HYBRID_w1_d40-r3.log,1156,39.70s,,,3,,HYBRID_w1_d40,5,40,1,65.66s,3,16,180,8,3,32.32,,2003,97.98,10,,65.66s
total_time,HYBRID,HYBRID_w1_d40-r3,T3,HYBRID_w1_d40-r3.log,1184,,,100.03,3,,HYBRID_w1_d40,5,40,1,,3,16,180,8,3,32.32,,2003,,10,67.71s,
wait_time,HYBRID,HYBRID_w1_d50-r1,T5,HYBRID_w1_d50-r1.log,173,7.87s,,,1,,HYBRID_w1_d50,5,50,1,7.87s,3,16,180,8,1,5.02,,2001,12.90,10,,7.87s
total_time,HYBRID,HYBRID_w1_d50-r1,T5,HYBRID_w1_d50-r1.log,202,,,14.94,1,,HYBRID_w1_d50,5,50,1,,3,16,180,8,1,5.02,,2001,,10,9.92s,
return_time,HYBRID,HYBRID_w1_d50-r1,T5,HYBRID_w1_d50-r1.log,413,19.52s,34.43,,1,14.91,HYBRID_w1_d50,5,50,1,19.52s,3,16,180,8,1,,19.52s,2001,,10,,
wait_time,HYBRID,HYBRID_w1_d50-r1,T1,HYBRID_w1_d50-r1.log,491,17.71s,,,2,,HYBRID_w1_d50,5,50,1,27.55s,3,16,180,8,1,13.22,,2001,40.77,10,,27.55s
total_time,HYBRID,HYBRID_w1_d50-r1,T1,HYBRID_w1_d50-r1.log,517,,,42.82,2,,HYBRID_w1_d50,5,50,1,,3,16,180,8,1,13.22,,2001,,10,29.60s,
return_time,HYBRID,HYBRID_w1_d50-r1,T1,HYBRID_w1_d50-r1.log,658,15.87s,55.01,,2,42.78,HYBRID_w1_d50,5,50,1,19.52s,3,16,180,8,1,,12.22s,2001,,10,,
wait_time,HYBRID,HYBRID_w1_d50-r1,T2,HYBRID_w1_d50-r1.log,752,20.18s,,,3,,HYBRID_w1_d50,5,50,1,27.55s,3,16,180,8,1,37.54,,2001,62.66,10,,25.12s
total_time,HYBRID,HYBRID_w1_d50-r1,T2,HYBRID_w1_d50-r1.log,781,,,64.70,3,,HYBRID_w1_d50,5,50,1,,3,16,180,8,1,37.54,,2001,,10,27.17s,
wait_time,HYBRID,HYBRID_w1_d50-r2,T6,HYBRID_w1_d50-r2.log,379,27.04s,,,1,,HYBRID_w1_d50,5,50,1,27.04s,3,16,180,8,2,5.02,,2002,32.06,10,,27.04s
total_time,HYBRID,HYBRID_w1_d50-r2,T6,HYBRID_w1_d50-r2.log,405,,,34.11,1,,HYBRID_w1_d50,5,50,1,,3,16,180,8,2,5.02,,2002,,10,29.09s,
return_time,HYBRID,HYBRID_w1_d50-r2,T6,HYBRID_w1_d50-r2.log,678,23.07s,57.15,,1,34.08,HYBRID_w1_d50,5,50,1,23.07s,3,16,180,8,2,,23.07s,2002,,10,,
wait_time,HYBRID,HYBRID_w1_d50-r2,T1,HYBRID_w1_d50-r2.log,730,31.42s,,,2,,HYBRID_w1_d50,5,50,1,35.81s,3,16,180,8,2,27.30,,2002,63.10,10,,35.81s
total_time,HYBRID,HYBRID_w1_d50-r2,T1,HYBRID_w1_d50-r2.log,759,,,65.15,2,,HYBRID_w1_d50,5,50,1,,3,16,180,8,2,27.30,,2002,,10,37.86s,
return_time,HYBRID,HYBRID_w1_d50-r2,T1,HYBRID_w1_d50-r2.log,1012,22.59s,87.23,,2,65.12,HYBRID_w1_d50,5,50,1,23.07s,3,16,180,8,2,,22.11s,2002,,10,,
wait_time,HYBRID,HYBRID_w1_d50-r2,T3,HYBRID_w1_d50-r2.log,1308,54.04s,,,3,,HYBRID_w1_d50,5,50,1,99.26s,3,16,180,8,2,13.06,,2002,112.32,10,,99.26s
total_time,HYBRID,HYBRID_w1_d50-r2,T3,HYBRID_w1_d50-r2.log,1336,,,114.37,3,,HYBRID_w1_d50,5,50,1,,3,16,180,8,2,13.06,,2002,,10,101.31s,
wait_time,HYBRID,HYBRID_w1_d50-r3,T1,HYBRID_w1_d50-r3.log,196,10.08s,,,1,,HYBRID_w1_d50,5,50,1,10.08s,3,16,180,8,3,5.02,,2003,15.10,10,,10.08s
total_time,HYBRID,HYBRID_w1_d50-r3,T1,HYBRID_w1_d50-r3.log,222,,,17.15,1,,HYBRID_w1_d50,5,50,1,,3,16,180,8,3,5.02,,2003,,10,12.13s,
return_time,HYBRID,HYBRID_w1_d50-r3,T1,HYBRID_w1_d50-r3.log,615,35.10s,52.22,,1,17.12,HYBRID_w1_d50,5,50,1,35.10s,3,16,180,8,3,,35.10s,2003,,10,,
wait_time,HYBRID,HYBRID_w1_d50-r3,T5,HYBRID_w1_d50-r3.log,734,26.72s,,,2,,HYBRID_w1_d50,5,50,1,43.36s,3,16,180,8,3,18.75,,2003,62.11,10,,43.36s
total_time,HYBRID,HYBRID_w1_d50-r3,T5,HYBRID_w1_d50-r3.log,760,,,64.16,2,,HYBRID_w1_d50,5,50,1,,3,16,180,8,3,18.75,,2003,,10,45.41s,
return_time,HYBRID,HYBRID_w1_d50-r3,T5,HYBRID_w1_d50-r3.log,878,22.85s,74.72,,2,64.13,HYBRID_w1_d50,5,50,1,35.10s,3,16,180,8,3,,10.59s,2003,,10,,
wait_time,HYBRID,HYBRID_w1_d50-r3,T3,HYBRID_w1_d50-r3.log,1156,39.70s,,,3,,HYBRID_w1_d50,5,50,1,65.66s,3,16,180,8,3,32.32,,2003,97.98,10,,65.66s
total_time,HYBRID,HYBRID_w1_d50-r3,T3,HYBRID_w1_d50-r3.log,1184,,,100.03,3,,HYBRID_w1_d50,5,50,1,,3,16,180,8,3,32.32,,2003,,10,67.71s,
wait_time,NEAREST,NEAREST-r1,T5,NEAREST-r1.log,173,7.87s,,,1,,NEAREST,5,0,1,7.87s,3,16,180,8,1,5.02,,2001,12.90,10,,7.87s
total_time,NEAREST,NEAREST-r1,T5,NEAREST-r1.log,202,,,14.94,1,,NEAREST,5,0,1,,3,16,180,8,1,5.02,,2001,,10,9.92s,
return_time,NEAREST,NEAREST-r1,T5,NEAREST-r1.log,413,19.52s,34.43,,1,14.91,NEAREST,5,0,1,19.52s,3,16,180,8,1,,19.52s,2001,,10,,
